,Type,Name,Age,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,PhotoAmt,AdoptionSpeed,BreedMixed,ColorMixed,Video
3376,2,Piko,7,2,1,2,2,1,1,2,1,0,41326,2.0,2.0,False,False,False
3377,2,Caramel,7,2,3,2,2,2,3,1,1,0,41326,2.0,4.0,False,False,False
3378,1,Phoebe,48,2,2,1,3,1,1,1,1,300,41326,1.0,2.0,False,False,False
3379,2,Omey,15,2,6,2,1,1,1,2,1,10,41326,4.0,3.0,False,True,False
3380,2,Squigee,2,1,6,2,2,1,1,2,1,0,41326,4.0,2.0,False,True,False
3381,1,Coco Chanel,6,2,2,2,1,3,3,3,1,0,41326,3.0,4.0,True,True,False
3382,1,Truffles,36,2,2,1,2,1,1,1,1,0,41401,10.0,1.0,False,True,False
3383,2,Handsome Boy For Adoption,2,1,3,2,2,2,1,2,1,0,41335,5.0,1.0,False,False,False
3384,1,Phoenix,1,2,5,2,1,2,1,1,1,0,41326,3.0,3.0,True,True,False
3385,2,Amy,6,1,1,2,2,2,1,1,2,100,41335,5.0,2.0,False,False,False
3386,1,Spike,48,1,5,2,1,1,1,1,1,0,41327,2.0,2.0,True,False,False
3387,1,Bubu,2,1,2,1,2,2,2,2,1,150,41326,5.0,1.0,True,False,True
3388,2,Angah,12,1,1,2,1,1,1,2,1,0,41401,1.0,4.0,False,False,False
3389,1,Abby,7,2,1,2,1,1,1,2,1,0,41326,4.0,4.0,True,False,False
3390,1,Bobby,29,1,1,2,1,1,1,3,1,0,41327,2.0,4.0,False,False,False
3391,2,Ginger,3,2,4,2,1,2,1,1,1,0,41326,4.0,4.0,False,True,False
3392,1,Kiddo,20,2,3,2,2,1,1,1,1,0,41325,2.0,4.0,True,False,False
3393,1,Jojo,11,2,1,2,1,1,1,3,1,0,41326,2.0,0.0,False,False,False
3394,1,MAISY,3,2,1,2,1,1,1,2,1,0,41330,1.0,3.0,True,False,False
3395,1,Koppie,4,2,1,2,2,2,2,2,1,0,41326,4.0,1.0,True,False,False
3396,1,Blackie Lexi,24,2,1,2,2,1,1,1,1,0,41326,11.0,4.0,False,False,False
3397,1,Dolly,72,2,1,1,2,1,1,1,1,0,41326,2.0,4.0,True,False,False
3398,2,Debby,3,2,1,1,1,1,1,2,1,0,41335,6.0,3.0,False,False,False
3399,2,Kakchik,12,2,1,1,2,1,1,1,1,0,41332,5.0,1.0,False,False,False
3400,2,Boots,2,1,3,2,1,2,1,2,1,0,41326,14.0,3.0,False,True,False
3401,2,Kitty ( As In City Kitty ),5,1,1,2,1,3,1,1,1,0,41401,4.0,0.0,False,False,False
3402,1,Ember,5,2,1,2,1,3,1,3,1,0,41326,2.0,2.0,True,True,False
3403,1,MiMi,3,2,2,2,2,2,2,2,1,0,41401,3.0,4.0,True,True,False
3404,1,No Name No Name,2,2,5,2,1,2,2,2,1,0,41401,5.0,2.0,True,False,True
3405,1,Minnie,120,2,1,1,1,1,1,2,2,0,41326,3.0,1.0,False,True,False
3406,1,Sha Sha,2,2,1,2,1,2,1,2,1,0,41326,1.0,1.0,True,False,False
3407,1,Vader,8,1,1,2,1,1,1,1,1,0,41326,3.0,4.0,True,True,False
3408,2,Yoo Hee (Thanx Atye),3,1,1,2,2,1,1,2,1,50,41326,2.0,2.0,False,False,False
3409,1,Gracie,12,2,1,2,2,1,1,1,1,100,41327,5.0,3.0,True,False,False
3410,1,AB2,2,2,2,2,2,2,1,2,1,0,41326,2.0,2.0,True,True,False
3411,1,Found,10,1,2,2,2,2,1,2,1,0,41326,3.0,3.0,False,True,False
3412,2,Ginger Boy,3,1,2,2,1,2,2,2,1,0,41326,1.0,2.0,False,False,False
3413,2,Tuna,2,2,1,2,1,2,1,2,1,0,41401,6.0,1.0,False,False,False
3414,1,GINGER,36,2,5,2,1,2,1,1,1,0,41326,5.0,2.0,False,True,False
3415,1,Milo,2,2,6,2,1,2,2,2,1,0,41326,2.0,0.0,True,True,False
3416,1,Jackie,15,1,2,2,1,1,1,1,1,100,41326,5.0,4.0,True,True,False
3417,1,Molek,6,2,2,2,1,1,1,1,1,0,41326,3.0,2.0,True,True,False
3418,1,Angel,1,2,2,2,2,1,2,2,1,40,41327,1.0,4.0,True,False,False
3419,1,No Name No Name,36,1,3,2,3,3,3,2,1,0,41401,3.0,3.0,False,True,False
3420,2,Fafa,4,2,1,1,1,1,1,2,1,0,41401,3.0,1.0,False,False,False
3421,2,Mimi,24,2,4,3,1,1,1,1,1,0,41401,2.0,1.0,False,False,False
3422,1,C2,2,2,2,2,2,1,1,2,1,0,41326,3.0,1.0,True,True,False
3423,2,Luna,1,2,1,1,2,2,2,2,1,100,41326,5.0,2.0,False,True,False
3424,1,Rocky,36,1,1,2,1,2,2,2,1,0,41326,1.0,3.0,False,True,False
3425,1,Luna,1,2,2,2,1,2,2,2,1,0,41326,2.0,2.0,True,False,False
3426,2,Garfield Kacho',3,1,3,2,2,2,1,2,1,100,41401,5.0,3.0,False,True,False
3427,1,Bessy,24,2,2,2,1,3,1,3,1,0,41326,1.0,1.0,False,False,False
3428,2,Peanut,1,2,1,3,1,2,1,2,1,0,41326,1.0,2.0,False,False,False
3429,1,Vince,1,1,1,2,1,2,2,2,1,20,41327,1.0,2.0,True,False,False
3430,2,Mango,2,2,2,1,2,3,1,2,1,0,41326,7.0,2.0,False,True,False
3431,1,No Name No Name,1,2,1,2,1,2,2,2,1,0,41326,4.0,2.0,True,False,False
3432,1,Peaches,48,2,2,2,1,1,1,1,1,0,41401,1.0,4.0,True,False,False
3433,1,Patchy,2,2,2,2,1,2,2,2,1,0,41326,1.0,2.0,True,False,False
3434,2,Lucky,0,1,1,1,1,3,3,2,1,0,41325,4.0,3.0,False,False,False
3435,2,Midas,12,1,4,2,2,2,1,1,1,0,41326,3.0,1.0,False,False,False
3436,2,Meow,7,2,2,2,1,3,3,2,1,0,41327,2.0,4.0,False,False,False
3437,2,Pearl,16,2,1,2,2,1,1,1,1,0,41401,3.0,4.0,False,False,False
3438,2,Popo2,3,2,2,1,1,1,1,2,1,0,41336,1.0,2.0,False,True,False
3439,1,Chloe,2,2,2,2,1,2,2,2,1,0,41326,2.0,4.0,True,False,False
3440,1,Mee Ho,42,2,1,1,1,1,1,1,1,0,41326,2.0,4.0,True,True,False
3441,1,Girlie 2015,3,2,1,2,1,2,2,2,1,0,41325,5.0,0.0,False,False,False
3442,1,Leo,3,1,1,2,1,2,2,2,1,0,41326,3.0,4.0,True,False,False
3443,2,Minnie,1,2,1,1,1,2,2,2,1,0,41401,0.0,4.0,False,False,False
3444,1,Cute,23,2,5,2,2,1,1,2,2,0,41326,0.0,0.0,False,True,False
3445,2,Whisper,2,2,1,1,2,1,1,2,1,0,41326,4.0,1.0,False,False,False
3446,1,Ting Ting,12,2,1,1,2,1,1,3,1,0,41326,1.0,3.0,True,False,False
3447,1,Male Puppy No 1,2,1,2,2,1,2,1,2,1,0,41326,1.0,3.0,True,True,False
3448,2,Bess,2,1,3,1,2,2,2,2,1,0,41326,3.0,2.0,False,False,False
3449,2,Oren,3,1,2,1,1,1,1,2,1,0,41401,2.0,1.0,False,False,False
3450,1,Shadow,31,2,1,2,2,1,1,1,1,0,41326,2.0,4.0,False,False,False
3451,1,Puppy,1,2,1,2,1,2,1,2,2,0,41326,10.0,1.0,False,False,False
3452,1,Lexi,1,2,1,2,2,3,3,2,1,0,41326,1.0,4.0,True,False,False
3453,1,Zeus,2,1,1,2,1,1,1,1,1,0,41330,3.0,3.0,True,False,False
3454,2,Toby,2,1,1,2,1,1,2,2,1,100,41401,4.0,1.0,False,False,False
3455,1,K-30 Momo,24,2,2,2,2,1,1,1,1,0,41401,2.0,4.0,True,True,False
3456,2,Mogu,13,1,1,2,1,1,1,2,1,0,41326,3.0,1.0,False,False,False
3457,1,Speed,108,2,3,2,1,1,1,2,1,0,41327,1.0,3.0,False,False,False
3458,1,Coco,2,2,2,2,1,1,1,2,1,30,41326,4.0,4.0,True,True,False
3459,1,Homeless,12,1,1,2,2,3,3,3,3,0,41336,3.0,4.0,True,False,False
3460,1,Bela,6,2,2,3,1,1,1,1,1,0,41332,6.0,4.0,True,False,False
3461,2,Spots,2,1,1,1,2,2,2,2,1,0,41326,4.0,2.0,False,False,False
3462,2,Spotty Girl,3,2,1,2,1,3,1,2,1,0,41401,5.0,3.0,False,False,False
3463,2,Daisy,2,2,1,2,1,2,2,2,1,0,41325,1.0,2.0,False,False,False
3464,2,Marky,3,1,1,1,1,2,2,2,1,0,41326,5.0,1.0,False,False,False
3465,1,Fifi,24,2,1,1,2,3,1,2,1,0,41326,5.0,3.0,False,False,False
3466,2,Minnie,3,2,3,2,2,1,2,2,1,0,41326,4.0,2.0,False,False,False
3467,1,Whisky,60,1,1,2,2,1,1,2,1,0,41336,2.0,2.0,True,False,False
3468,2,Peanut,1,1,2,3,1,2,2,2,1,0,41326,4.0,3.0,False,False,False
3469,2,Kcik,2,2,2,1,2,2,2,2,1,0,41330,1.0,4.0,False,True,False
3470,1,Ah Boy,12,1,2,2,2,3,3,3,1,0,41401,7.0,4.0,True,False,False
3471,1,Spotty,3,1,1,2,1,2,1,2,1,50,41332,2.0,4.0,True,False,False
3472,1,Jack Jack,36,1,2,1,1,1,1,2,2,0,41326,3.0,1.0,False,True,False
3473,1,Tall Doggy,12,1,2,3,1,1,1,1,1,0,41401,2.0,4.0,False,True,False
3474,1,Fisher,2,2,2,1,1,3,3,2,1,0,41326,2.0,0.0,True,True,False
3475,1,Mini,3,2,1,2,1,2,1,2,1,0,41326,2.0,3.0,True,False,False
3476,1,M8,2,2,2,2,2,2,1,2,1,0,41326,10.0,3.0,True,True,False
3477,2,OREO,7,2,1,1,1,1,1,1,1,0,41401,4.0,4.0,False,False,False
3478,1,Herbie (fully Loaded!),3,1,2,2,1,2,1,2,1,0,41326,4.0,3.0,True,True,False
3479,2,3,3,2,1,1,1,2,2,2,2,0,41401,1.0,4.0,False,True,False
3480,1,Puppy 2,4,2,1,2,1,2,2,2,1,0,41401,1.0,2.0,True,False,False
3481,1,Skit,6,2,2,1,2,3,1,1,1,0,41401,5.0,1.0,False,False,False
3482,1,Lovely Female Puppy,4,2,1,2,1,2,1,3,1,0,41326,2.0,4.0,True,False,False
3483,1,Bailey,2,2,1,2,1,1,3,3,1,0,41327,1.0,4.0,True,False,False
3484,1,Black,12,2,1,2,2,1,1,1,1,0,41401,1.0,4.0,True,True,False
3485,1,Snooze,53,2,1,2,1,1,1,1,2,0,41326,1.0,0.0,False,False,False
3486,2,BABY TORTIE,12,2,1,2,2,1,1,1,1,0,41401,1.0,4.0,False,False,False
3487,1,No Name No Name,24,2,1,2,1,3,3,3,1,0,41401,2.0,3.0,False,False,False
3488,1,ROTTIE,8,1,1,3,1,1,1,1,1,0,41326,1.0,2.0,False,True,False
3489,1,Moo-Moo Is Still Looking For A Home,2,2,1,3,1,2,1,2,1,50,41326,16.0,2.0,True,False,False
3490,2,Simba,5,1,3,1,1,2,2,2,1,0,41326,7.0,2.0,False,False,False
3491,2,Bubble,2,1,1,1,2,2,2,2,1,0,41401,2.0,1.0,False,False,False
3492,1,Sayang,12,2,1,2,1,3,3,3,1,0,41327,3.0,3.0,True,False,False
3493,1,Bay Ravan,48,1,1,3,2,3,1,2,1,0,41325,2.0,4.0,True,False,False
3494,1,Cleo,24,2,1,2,2,1,1,1,1,0,41326,3.0,2.0,True,False,False
3495,2,No Name No Name,2,2,1,2,2,2,2,2,1,0,41401,4.0,3.0,False,False,False
3496,1,No Name No Name,1,2,5,2,1,1,1,2,1,50,41326,3.0,1.0,True,False,False
3497,2,Smiley,4,1,5,3,2,1,1,2,1,0,41330,4.0,1.0,False,True,False
3498,2,Susan,11,2,2,2,1,1,1,1,1,0,41326,3.0,3.0,False,False,False
3499,2,Baby,4,2,2,1,1,2,2,2,1,0,41326,3.0,3.0,False,False,False
3500,1,Boston Terrier Mixed,8,1,5,2,1,1,1,1,1,0,41330,3.0,4.0,False,True,False
3501,2,Cooper,5,1,2,2,1,2,2,2,1,0,41401,1.0,2.0,False,False,False
3502,1,Maggie,3,2,5,2,2,2,2,2,1,0,41327,3.0,1.0,True,False,False
3503,1,Gizmo,2,1,2,2,1,1,1,2,1,0,41326,7.0,2.0,True,False,False
3504,2,TamTeh,6,1,1,2,2,2,2,2,1,0,41326,3.0,4.0,False,False,False
3505,1,Labby,2,2,2,2,2,2,1,2,1,0,41326,8.0,2.0,False,False,False
3506,1,Woofy,2,1,1,2,1,2,1,2,1,0,41326,1.0,1.0,True,False,False
3507,1,Kopi,2,2,1,2,1,1,1,2,1,0,41401,5.0,3.0,True,True,False
3508,1,Scuffy Girl,2,2,1,2,2,1,1,2,1,0,41327,4.0,3.0,True,False,False
3509,2,Brandy,2,2,1,2,1,2,1,2,1,0,41326,3.0,3.0,False,False,False
3510,1,Pooja,24,2,1,2,1,1,1,1,2,0,41324,3.0,3.0,True,False,False
3511,1,No Name No Name,2,1,1,2,2,1,1,2,2,0,41401,4.0,2.0,True,False,False
3512,1,Meatball,84,1,3,2,1,1,1,2,1,100,41327,7.0,2.0,False,False,False
3513,1,2 Black Pups (Sibling-Male-1 Month),1,2,1,2,1,2,1,2,1,0,41326,5.0,3.0,True,True,False
3514,1,Patches,12,2,7,2,1,3,1,3,1,0,41326,6.0,1.0,True,True,False
3515,2,Lucky,6,1,1,2,2,2,2,2,1,0,41326,1.0,2.0,False,True,False
3516,2,Yuyu,6,1,6,2,1,2,1,1,1,0,41326,2.0,2.0,False,False,False
3517,2,Yakira,12,2,1,1,2,2,1,1,1,150,41401,19.0,2.0,False,False,False
3518,1,Mimi,60,2,5,1,2,1,1,1,1,0,41336,1.0,4.0,False,True,False
3519,2,Michelle,12,2,1,2,1,1,1,2,1,0,41336,1.0,2.0,False,False,False
3520,1,Fifi,1,2,1,2,1,2,3,2,1,0,41326,1.0,2.0,True,False,False
3521,2,Zamani,2,1,3,1,1,2,1,2,1,30,41326,4.0,1.0,False,False,False
3522,2,Jumper,21,2,1,2,2,3,1,1,1,0,41326,8.0,4.0,False,False,False
3523,1,Bruno,12,1,2,2,1,1,1,1,2,0,41326,1.0,3.0,True,True,False
3524,2,Hua,3,2,1,2,1,1,1,2,1,0,41326,1.0,2.0,False,False,False
3525,2,Caspian,3,1,6,1,1,1,1,1,1,50,41326,8.0,4.0,False,False,False
3526,1,Bravo (tentative),54,1,2,1,2,3,3,3,1,0,41326,12.0,2.0,False,False,False
3527,2,Kitty 18,1,2,1,2,1,2,1,2,1,0,41401,2.0,2.0,False,False,False
3528,2,Snoopy,1,2,2,3,1,2,1,2,1,0,41326,4.0,2.0,False,True,False
3529,1,Rust Boy,108,1,2,1,3,1,1,1,1,0,41330,3.0,1.0,False,True,False
3530,1,Chewy,5,1,1,2,1,1,1,2,1,0,41327,5.0,1.0,False,False,False
3531,2,Kitty,1,2,1,2,2,2,2,2,1,0,41326,4.0,2.0,False,False,False
3532,1,Milo,3,1,2,2,1,2,1,2,1,0,41326,4.0,1.0,True,True,False
3533,2,Tracy,4,2,1,1,1,2,2,2,1,0,41401,5.0,2.0,False,False,False
3534,1,No Name No Name,6,2,1,2,1,2,2,2,1,0,41326,1.0,4.0,True,False,False
3535,1,Wolfie,2,1,2,2,1,2,1,2,1,0,41326,3.0,1.0,True,True,False
3536,1,Wafer,12,1,4,2,1,1,1,1,1,0,41401,4.0,3.0,True,False,False
3537,1,Franco,6,1,1,2,2,1,1,2,1,0,41401,10.0,3.0,True,True,False
3538,1,Smoothie Blackie,6,1,1,2,1,3,3,3,1,0,41401,2.0,2.0,True,True,False
3539,1,Xiao Wang,3,2,3,2,1,1,1,2,1,0,41326,2.0,2.0,True,False,False
3540,1,Little Fud,3,2,2,2,1,1,1,2,1,0,41326,2.0,1.0,True,False,True
3541,1,Jane Grey,2,2,5,2,1,1,1,2,1,0,41326,1.0,1.0,True,False,False
3542,2,Rosemerry,1,2,4,3,2,2,2,2,1,0,41326,9.0,3.0,False,False,False
3543,2,Reeka,2,2,3,2,1,2,1,2,1,30,41326,5.0,1.0,False,False,False
3544,2,Whitey,3,2,1,2,2,2,2,2,1,0,41326,9.0,1.0,False,False,False
3545,2,Baby Lamb,1,1,1,3,2,2,2,2,1,0,41326,4.0,4.0,False,False,False
3546,2,Cleo,6,1,2,2,1,1,1,1,1,160,41326,3.0,4.0,False,False,False
3547,1,Sunday Rose,6,2,7,2,1,1,1,1,1,0,41326,2.0,3.0,True,True,False
3548,1,Mama,36,2,1,2,3,1,1,1,1,0,41326,2.0,4.0,False,True,False
3549,1,Cesar,12,1,1,2,1,1,1,2,1,0,41336,1.0,2.0,False,False,False
3550,1,Lion,2,2,1,2,2,1,1,2,1,0,41326,5.0,1.0,True,False,False
3551,2,Kiki,80,2,1,2,1,1,2,1,1,50,41401,2.0,2.0,False,False,False
3552,1,Xiao Qiao,2,2,2,1,1,2,2,2,2,0,41401,2.0,4.0,True,True,False
3553,2,Beauty,24,2,1,2,3,2,2,2,1,0,41326,5.0,1.0,False,False,False
3554,1,Angel With Lots Of â¥,8,2,1,2,2,1,1,1,1,0,41326,2.0,2.0,True,False,False
3555,1,Pasta,48,1,5,3,1,1,1,1,1,250,41401,2.0,2.0,False,True,False
3556,1,Tara ( 2 Months-Female),2,2,2,3,2,2,1,2,2,0,41326,2.0,2.0,True,True,False
3557,1,Abby,2,2,2,2,2,1,1,2,1,0,41326,2.0,4.0,True,True,False
3558,2,KITTEN FOR ADOPT (FREE) 2,6,1,2,2,1,2,2,2,1,0,41326,4.0,1.0,False,False,False
3559,1,Smarty,60,1,7,2,2,2,2,2,1,0,41330,3.0,1.0,False,True,False
3560,2,Gina,1,2,1,1,1,2,2,2,1,0,41325,4.0,3.0,False,False,False
3561,2,Miao Miao,2,1,2,2,1,2,2,2,1,0,41327,2.0,2.0,False,False,False
3562,2,Marble,1,1,1,1,1,2,2,2,1,0,41345,1.0,4.0,False,False,False
3563,1,4 Puppies,2,2,2,1,1,1,1,1,1,0,41401,10.0,3.0,True,False,False
3564,1,Dexter,5,1,5,2,1,1,1,1,1,0,41326,3.0,4.0,False,True,False
3565,1,Coco,2,2,4,2,1,2,1,2,1,0,41401,7.0,2.0,True,True,False
3566,1,Little Blackie,2,2,1,2,2,2,2,2,1,0,41326,6.0,4.0,True,True,False
3567,1,Ella,2,2,5,2,1,3,3,2,1,0,41326,2.0,3.0,True,True,False
3568,1,Miss Creamy,3,2,5,2,1,2,1,2,1,0,41336,3.0,1.0,True,True,False
3569,2,Sampson,2,1,1,2,2,1,1,2,1,0,41401,3.0,2.0,False,True,False
3570,2,Bender Wang,3,1,1,3,3,2,1,2,1,50,41326,4.0,1.0,False,False,False
3571,2,Mange Face,3,2,2,2,2,1,1,2,2,0,41401,2.0,1.0,False,False,False
3572,1,Gibson,6,1,2,2,1,1,1,1,1,0,41326,3.0,4.0,True,False,False
3573,2,Lulu,2,2,5,1,1,2,1,2,1,0,41330,5.0,4.0,False,False,False
3574,1,Tiger,9,2,1,2,1,1,1,1,1,0,41326,2.0,2.0,False,False,False
3575,2,Billy,12,1,1,3,1,2,1,1,1,0,41401,3.0,4.0,False,False,False
3576,2,Tom,12,1,1,2,2,1,1,2,1,0,41332,3.0,2.0,False,False,False
3577,1,Puppy Brownie,2,1,2,2,1,2,1,2,1,90,41326,1.0,3.0,True,True,False
3578,2,Moana,5,2,1,1,1,1,2,1,1,100,41401,2.0,4.0,False,False,False
3579,2,Missy,48,2,1,1,1,1,1,2,1,0,41401,3.0,4.0,False,False,False
3580,2,Sunbeam,3,1,3,2,1,2,2,2,1,0,41326,5.0,3.0,False,False,False
3581,2,No Name No Name,6,2,1,1,1,2,2,2,1,30,41326,1.0,4.0,False,False,False
3582,1,Kili,1,1,2,2,1,2,2,2,1,0,41332,1.0,3.0,True,True,False
3583,2,Two Face,2,2,1,1,2,2,2,2,1,0,41326,5.0,2.0,False,False,False
3584,1,ALMOND,1,1,3,2,1,2,2,2,1,0,41326,1.0,3.0,True,True,False
3585,1,Brownie,24,1,1,2,1,2,2,2,1,0,41327,3.0,4.0,True,False,False
3586,2,Cutie,4,2,1,2,1,2,2,2,1,10,41326,4.0,3.0,False,False,False
3587,1,Leng Leng Aka Misty Rain,3,2,1,2,1,1,1,2,1,0,41326,4.0,3.0,False,False,False
3588,1,Odie,15,2,7,2,1,1,1,1,1,0,41326,6.0,1.0,True,True,False
3589,1,Debi,2,2,1,2,1,1,1,2,1,0,41326,2.0,2.0,True,False,False
3590,1,Crocs å¤§é ­,4,2,1,2,1,1,1,1,1,0,41326,2.0,3.0,True,False,False
3591,1,Black Beauty,2,2,1,2,2,2,2,2,1,0,41327,1.0,3.0,True,True,False
3592,1,Inno,12,1,2,2,1,1,1,3,1,0,41401,5.0,4.0,True,False,False
3593,1,FLUFFY,22,2,2,2,1,1,1,2,1,0,41326,2.0,3.0,False,False,False
3594,1,Casper,12,2,1,4,1,1,1,2,2,0,41401,3.0,3.0,False,True,False
3595,1,Munchkin,12,1,1,2,2,1,1,1,1,0,41326,5.0,3.0,False,False,False
3596,2,Pearl,9,2,1,2,2,2,2,2,1,0,41326,1.0,2.0,False,False,False
3597,1,No Name No Name,12,2,2,1,1,3,3,3,1,0,41330,5.0,2.0,True,False,False
3598,2,Kiki,1,1,4,1,1,2,1,2,1,0,41326,3.0,2.0,False,False,False
3599,2,Fidget,1,2,1,2,2,1,1,2,1,0,41326,2.0,1.0,False,True,True
3600,2,Sydney,11,2,2,2,2,1,1,1,1,0,41401,4.0,3.0,False,False,True
3601,1,No Name No Name,2,2,2,1,1,3,3,3,1,0,41326,2.0,4.0,True,True,False
3602,2,Jacob,2,1,2,2,2,2,2,2,1,0,41401,3.0,1.0,False,False,False
3603,1,Pls Take Me Home~,18,2,6,1,3,3,3,3,1,300,41326,4.0,2.0,False,False,False
3604,2,Tuxedo Kitten Available!,0,1,1,2,1,2,2,2,1,0,41326,10.0,3.0,False,True,True
3605,1,Chocolate,36,1,2,2,1,1,1,1,1,0,41326,1.0,4.0,True,False,False
3606,2,Blur Blur,2,1,2,2,2,2,1,2,1,0,41326,2.0,2.0,False,False,False
3607,1,No Name No Name,2,1,7,2,1,1,3,3,1,50,41336,1.0,1.0,True,True,False
3608,1,BoBo Boy,3,1,5,2,1,1,1,2,1,0,41330,4.0,2.0,True,True,False
3609,1,Blackies,3,2,1,2,2,1,1,2,2,0,41326,1.0,2.0,True,True,False
3610,1,Socks,2,2,1,2,1,1,2,2,1,0,41336,5.0,3.0,False,False,False
3611,1,Tinka,63,2,1,2,1,1,1,1,1,50,41326,5.0,1.0,False,True,False
3612,1,No Name No Name,84,2,7,2,1,1,1,1,1,0,41326,1.0,4.0,False,True,False
3613,2,Bam Bam,2,1,1,2,1,1,1,2,1,100,41401,4.0,3.0,False,False,False
3614,1,No Name No Name,12,1,1,2,1,3,3,3,1,0,41401,2.0,4.0,False,False,False
3615,2,Woolsy,1,1,1,2,1,2,1,2,1,0,41326,3.0,2.0,False,False,False
3616,1,Peppear,4,2,1,2,1,2,1,2,1,0,41326,5.0,3.0,False,True,False
3617,2,KAALI,2,2,1,1,1,3,3,3,2,0,41326,1.0,4.0,False,True,False
3618,1,Zeus,6,1,1,3,1,1,1,1,1,0,41401,4.0,4.0,False,False,False
3619,1,G2,2,2,2,2,2,1,1,2,1,0,41326,1.0,3.0,True,False,False
3620,2,Spot,1,1,1,1,1,2,2,2,1,0,41326,4.0,1.0,False,False,False
3621,1,Beauty,3,2,2,2,1,2,2,2,1,0,41401,4.0,2.0,True,False,False
3622,1,å°é»,12,1,2,2,1,2,1,2,1,250,41401,1.0,4.0,True,True,False
3623,1,Darlie,1,1,1,2,1,2,2,2,1,0,41326,2.0,3.0,True,True,False
3624,1,No Name No Name,12,1,2,2,1,3,3,3,1,0,41326,4.0,4.0,True,False,False
3625,2,Grey,4,1,6,2,2,2,2,2,1,0,41326,5.0,2.0,False,True,False
3626,2,San-kun,12,2,1,1,2,1,1,1,1,300,41326,4.0,4.0,False,False,False
3627,2,Paris,12,2,3,2,2,2,2,2,1,0,41401,1.0,2.0,False,False,False
3628,1,Dexter Jnr,3,1,5,1,1,1,1,2,1,270,41326,5.0,1.0,False,True,False
3629,2,Gaffey,36,1,3,3,2,3,1,2,2,0,41326,2.0,4.0,False,True,False
3630,2,Bobo,2,1,1,1,3,2,2,2,1,250,41326,3.0,3.0,False,False,False
3631,1,Terry Boy,2,1,1,2,1,1,1,2,1,0,41401,3.0,1.0,True,False,False
3632,1,Anson,1,1,1,2,1,3,3,2,1,0,41326,3.0,3.0,True,False,False
3633,2,Grey,29,1,6,2,1,1,1,1,1,30,41326,4.0,3.0,False,True,False
3634,1,Mink,1,2,1,2,1,2,2,2,1,0,41401,1.0,2.0,True,False,False
3635,1,Zuzu,5,2,2,2,2,3,1,1,1,0,41326,1.0,2.0,False,False,False
3636,1,Goofy,36,1,5,1,2,1,1,1,1,200,41326,4.0,3.0,False,False,False
3637,1,Hugo,14,1,1,2,2,1,1,1,1,0,41401,2.0,4.0,True,False,False
3638,2,Blueberry,1,2,1,3,3,2,2,2,1,0,41326,9.0,3.0,False,False,False
3639,2,Gaia (GRAY) URGENT!!!,1,2,6,2,2,1,1,2,1,0,41326,4.0,1.0,False,True,False
3640,2,Black Head Boy,1,1,1,2,2,2,2,2,1,50,41326,6.0,2.0,False,False,False
3641,1,Tiger,36,2,1,2,2,1,1,1,1,0,41326,1.0,4.0,True,False,False
3642,2,Sena,12,2,1,2,1,3,1,1,1,0,41327,2.0,4.0,False,False,False
3643,1,Yuan Yuan,6,2,1,2,2,1,1,2,1,0,41326,5.0,4.0,True,False,False
3644,1,No Name No Name,96,1,3,3,3,1,1,2,1,0,41401,1.0,4.0,False,True,False
3645,2,Butterball,3,2,2,2,2,3,3,3,1,0,41401,4.0,1.0,False,False,False
3646,1,Joos,17,2,1,3,2,1,1,1,1,0,41326,5.0,4.0,True,False,False
3647,2,Marble,1,1,1,1,2,2,2,2,1,0,41401,2.0,1.0,False,False,False
3648,2,No Name No Name,12,1,1,1,1,3,3,3,2,0,41401,1.0,4.0,False,False,False
3649,1,Lucy Girl,6,2,1,2,2,2,1,1,1,0,41327,4.0,3.0,True,True,False
3650,2,TACO,1,1,4,2,2,2,2,2,1,0,41401,5.0,1.0,False,False,False
3651,1,Zone A2 P9,6,1,2,1,1,1,1,2,1,0,41326,3.0,4.0,True,False,False
3652,1,Playful Girl,1,2,3,2,1,2,2,2,1,0,41326,1.0,3.0,True,True,False
3653,1,2  Cute Puppies,1,2,2,2,2,1,3,2,1,0,41326,4.0,4.0,True,False,False
3654,2,Tam,3,1,1,2,1,2,2,2,1,0,41326,2.0,2.0,False,True,False
3655,2,Ginger,4,1,3,2,1,1,1,2,1,0,41401,7.0,1.0,False,False,True
3656,1,Enna,2,2,1,2,1,1,1,2,1,0,41326,8.0,3.0,True,False,False
3657,2,Baby,7,2,1,2,1,1,1,2,1,0,41326,11.0,1.0,False,False,False
3658,1,Ricky 08,1,1,1,2,1,2,2,2,1,0,41330,1.0,2.0,True,False,False
3659,2,No Name No Name,6,2,1,2,1,3,3,3,1,0,41326,3.0,4.0,False,False,False
3660,1,Copper,24,1,2,1,2,1,1,2,1,0,41326,5.0,3.0,True,True,False
3661,2,Abby,8,2,2,2,2,3,3,1,1,0,41326,3.0,4.0,False,False,False
3662,2,Theodore,5,2,1,3,2,2,2,2,1,0,41326,1.0,3.0,False,False,False
3663,1,Happy,120,1,2,2,2,3,3,3,2,0,41401,1.0,4.0,True,False,False
3664,1,Dobber Puppy,2,2,1,3,1,1,1,2,1,600,41326,3.0,2.0,False,True,False
3665,1,Bella,2,2,2,2,1,2,2,2,1,0,41326,3.0,1.0,True,False,False
